Mes,Año,Criterio SINADEF,Criterio clínico,Criterio investigación Epidemiológica,Criterio nexo epidemiológico,Criterio radiológico,Criterio serológico,Criterio virológico,NotiCovid,sinadef
1,2021,2190.0,514.0,323.0,107.0,434.0,2448.0,5159.0,0.0,0.0
1,2022,1894.0,22.0,0.0,0.0,0.0,41.0,1605.0,0.0,0.0
1,2023,34.0,1.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0
1,2024,35.0,0.0,0.0,0.0,0.0,0.0,83.0,115.0,16.0
2,2021,4993.0,501.0,465.0,150.0,556.0,2539.0,9441.0,0.0,0.0
2,2022,1604.0,20.0,0.0,0.0,0.0,1.0,1878.0,0.0,0.0
2,2023,4.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0
2,2024,1.0,0.0,0.0,0.0,0.0,0.0,45.0,16.0,0.0
3,2020,35.0,52.0,25.0,2.0,7.0,2.0,58.0,0.0,0.0
3,2021,6100.0,525.0,517.0,229.0,456.0,1703.0,11161.0,0.0,0.0
3,2022,352.0,6.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0
3,2023,6.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0
3,2024,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
4,2020,1793.0,541.0,498.0,68.0,182.0,778.0,1274.0,0.0,0.0
4,2021,7450.0,748.0,591.0,246.0,363.0,1488.0,12224.0,0.0,0.0
4,2022,131.0,9.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0
4,2023,17.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0
5,2020,6826.0,1152.0,1427.0,203.0,480.0,3233.0,3042.0,0.0,0.0
5,2021,5225.0,628.0,349.0,155.0,283.0,1175.0,8877.0,0.0,0.0
5,2022,85.0,3.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0
5,2023,6.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0
6,2020,5722.0,670.0,1706.0,251.0,391.0,5605.0,3117.0,0.0,0.0
6,2021,2723.0,116.0,123.0,51.0,138.0,746.0,3825.0,0.0,0.0
6,2022,81.0,3.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0
6,2023,2.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0
7,2020,5012.0,609.0,1512.0,262.0,415.0,7501.0,3190.0,0.0,0.0
7,2021,1025.0,113.0,67.0,35.0,68.0,521.0,1652.0,0.0,0.0
7,2022,299.0,3.0,0.0,0.0,0.0,0.0,723.0,0.0,0.0
7,2023,3.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0
8,2020,4589.0,611.0,1456.0,208.0,534.0,7400.0,2870.0,0.0,0.0
8,2021,578.0,75.0,22.0,15.0,36.0,287.0,837.0,0.0,0.0
8,2022,405.0,6.0,0.0,0.0,0.0,0.0,1018.0,0.0,0.0
8,2023,7.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0
9,2020,1984.0,475.0,755.0,105.0,233.0,3483.0,1402.0,0.0,0.0
9,2021,554.0,12.0,0.0,0.0,0.0,190.0,384.0,0.0,0.0
9,2022,154.0,12.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0
9,2023,7.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
10,2020,1091.0,463.0,469.0,50.0,172.0,1417.0,809.0,0.0,0.0
10,2021,469.0,12.0,0.0,0.0,0.0,148.0,437.0,0.0,0.0
10,2022,53.0,59.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0
10,2023,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
11,2020,704.0,462.0,307.0,37.0,186.0,867.0,666.0,0.0,0.0
11,2021,441.0,16.0,0.0,0.0,0.0,157.0,493.0,0.0,0.0
11,2022,23.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0
11,2023,13.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
12,2020,802.0,547.0,171.0,41.0,179.0,1047.0,1098.0,0.0,0.0
12,2021,585.0,8.0,0.0,0.0,0.0,133.0,557.0,0.0,0.0
12,2022,66.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0
12,2023,17.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0
